filename,operator,time,plot,plant,,line_raw_slope (N/m),line_push_slope (N/m),ransac_slope(N/m),ratio captured,points
./data/FirstSet/2019_9_2_13_27_14.csv,JR,9AM,1259,12,,192.9647929,212.2044884,211.7111347,0.9,20
./data/SecondSet/2019_9_2_15_38_26.csv,JR,12PM,1383,1,,285.9869262,306.6978346,320.3104341,0.608695652,23
./data/SecondSet/2019_9_2_15_38_48.csv,JR,12PM,1383,2,,218.7332919,221.9522826,247.6709907,0.875,16
./data/SecondSet/2019_9_2_15_39_11.csv,JR,12PM,1383,3,,282.9014454,228.4903961,285.7646875,0.882352941,17
./data/SecondSet/2019_9_2_15_39_31.csv,JR,12PM,1383,4,,274.4774213,280.2478367,304.5224943,0.789473684,19
./data/SecondSet/2019_9_2_15_40_12.csv,JR,12PM,1383,5,,219.1590372,148.4240276,196.8305347,0.764705882,17
./data/SecondSet/2019_9_2_15_40_46.csv,JR,12PM,1383,6,,236.8875642,221.8863151,232.9504811,0.789473684,19
./data/SecondSet/2019_9_2_15_41_17.csv,JR,12PM,1383,7,,280.4266156,279.3255172,274.1731194,0.8125,16
./data/SecondSet/2019_9_2_15_41_36.csv,JR,12PM,1383,8,,251.7007406,239.6034095,278.7409271,0.904761905,21
./data/SecondSet/2019_9_2_15_41_57.csv,JR,12PM,1383,9,,206.0565804,189.4496602,271.24028,0.6,20
./data/SecondSet/2019_9_2_15_42_34.csv,JR,12PM,1383,10,,230.9774244,180.4078505,190.3801956,0.75,20
./data/SecondSet/2019_9_2_15_43_3.csv,JR,12PM,1383,11,,103.2779261,96.42472191,69.46906839,0.761904762,21
./data/SecondSet/2019_9_2_15_44_30.csv,JR,12PM,1383,1,,322.4275651,338.1379465,387.3532341,0.608695652,23
./data/SecondSet/2019_9_2_15_44_48.csv,JR,12PM,1383,2,,240.0447412,223.5776413,256.0431138,0.9,20
./data/SecondSet/2019_9_2_15_45_26.csv,JR,12PM,1383,4,,275.4982753,277.8522169,404.4672115,0.777777778,18
./data/SecondSet/2019_9_2_15_45_45.csv,JR,12PM,1383,5,,204.4757569,175.4131674,192.0320976,0.789473684,19
./data/SecondSet/2019_9_2_15_45_7.csv,JR,12PM,1383,3,,292.8865726,292.0039505,308.4412723,0.882352941,17
./data/SecondSet/2019_9_2_15_46_28.csv,JR,12PM,1383,7,,265.7649737,248.5651853,288.7381682,0.789473684,19
./data/SecondSet/2019_9_2_15_46_45.csv,JR,12PM,1383,8,,257.9825442,255.389988,314.3970128,0.85,20
./data/SecondSet/2019_9_2_15_46_5.csv,JR,12PM,1383,6,,274.1000256,233.8991606,242.2153043,0.882352941,17
./data/SecondSet/2019_9_2_15_47_13.csv,JR,12PM,1383,9,,180.3435664,171.3834995,215.767122,0.833333333,18
./data/SecondSet/2019_9_2_15_47_35.csv,JR,12PM,1383,10,,239.9702903,203.7642383,247.3471534,0.8,20
./data/SecondSet/2019_9_2_15_48_13.csv,JR,12PM,1383,11,,95.58114019,85.2691595,104.5924306,0.857142857,21
./data/SecondSet/2019_9_2_15_50_58.csv,JR,12PM,1259,1,,223.1699893,221.9880652,211.2904567,0.8125,16
./data/SecondSet/2019_9_2_15_51_19.csv,JR,12PM,1259,2,,188.2077892,178.7931364,200.9633336,0.818181818,22
./data/SecondSet/2019_9_2_15_51_40.csv,JR,12PM,1259,3,,287.799123,238.1415527,277.3316544,0.9,20
./data/SecondSet/2019_9_2_15_52_11.csv,JR,12PM,1259,4,,96.46361633,79.90315924,100.477653,0.80952381,21
./data/SecondSet/2019_9_2_15_52_33.csv,JR,12PM,1259,5,,202.8049253,215.2789611,233.5641498,0.789473684,19
./data/SecondSet/2019_9_2_15_52_52.csv,JR,12PM,1259,6,,270.4551081,258.4451523,238.6713859,0.647058824,17
./data/SecondSet/2019_9_2_15_53_13.csv,JR,12PM,1259,7,,227.8124039,274.7684396,286.899583,0.894736842,19
./data/SecondSet/2019_9_2_15_53_32.csv,JR,12PM,1259,8,,273.1432346,242.9636757,358.4231921,0.882352941,17
./data/SecondSet/2019_9_2_15_53_50.csv,JR,12PM,1259,9,,264.1643066,303.528578,312.5508032,0.909090909,22
./data/SecondSet/2019_9_2_15_54_32.csv,JR,12PM,1259,11,,151.1773623,168.2911373,183.434587,0.652173913,23
./data/SecondSet/2019_9_2_15_54_52.csv,JR,12PM,1259,12,,157.3569294,154.1969231,174.3523886,0.666666667,18
./data/SecondSet/2019_9_2_15_54_9.csv,JR,12PM,1259,10,,266.0816665,233.509034,235.0039194,0.68,25
./data/SecondSet/2019_9_2_15_55_59.csv,JR,12PM,1259,1,,222.5213001,191.8234231,204.2413508,0.894736842,19
./data/SecondSet/2019_9_2_15_56_15.csv,JR,12PM,1259,2,,196.9574889,165.3278259,140.0772493,0.8,20
./data/SecondSet/2019_9_2_15_56_32.csv,JR,12PM,1259,3,,299.5695862,268.8037294,289.3130931,0.9,20
./data/SecondSet/2019_9_2_15_56_51.csv,JR,12PM,1259,4,,84.36000042,65.79687195,54.13718513,0.619047619,21
./data/SecondSet/2019_9_2_15_57_28.csv,JR,12PM,1259,6,,251.0143117,230.2848868,230.2304244,0.9,20
./data/SecondSet/2019_9_2_15_57_51.csv,JR,12PM,1259,7,,240.5989889,227.1975565,258.0787423,0.904761905,21
./data/SecondSet/2019_9_2_15_57_9.csv,JR,12PM,1259,5,,208.0770233,174.8854176,199.8803013,0.9,20
./data/SecondSet/2019_9_2_15_58_19.csv,JR,12PM,1259,8,,314.8727613,320.8930508,392.7463934,0.904761905,21
./data/SecondSet/2019_9_2_15_58_37.csv,JR,12PM,1259,9,,240.4645627,260.0562264,259.3272467,0.904761905,21
./data/SecondSet/2019_9_2_15_58_53.csv,JR,12PM,1259,10,,221.7125479,201.8504613,196.7229034,0.842105263,19
./data/SecondSet/2019_9_2_15_59_32.csv,JR,12PM,1259,11,,129.6503988,110.6119704,127.4202186,0.92,25
./data/SecondSet/2019_9_2_15_59_53.csv,JR,12PM,1259,12,,162.3392517,182.2703825,196.3370943,0.80952381,21
./data/SecondSet/2019_9_2_16_1_44.csv,JR,12PM,1259,1,,216.6576391,242.8872279,262.1719175,0.894736842,19
./data/SecondSet/2019_9_2_16_2_28.csv,JR,12PM,1259,3,,343.1736732,311.6022062,269.3483688,0.904761905,21
./data/SecondSet/2019_9_2_16_2_5.csv,JR,12PM,1259,2,,228.8265094,203.0443346,282.5348953,0.631578947,19
./data/SecondSet/2019_9_2_16_2_51.csv,JR,12PM,1259,4,,108.2005569,68.3155335,53.2639242,0.55,20
./data/SecondSet/2019_9_2_16_3_12.csv,JR,12PM,1259,5,,225.8565566,240.2854586,254.2009381,0.909090909,22
./data/SecondSet/2019_9_2_16_3_43.csv,JR,12PM,1259,6,,266.2918506,293.8939471,293.5756239,0.913043478,23
./data/SecondSet/2019_9_2_16_4_12.csv,JR,12PM,1259,7,,271.9044493,301.2564122,308.3318389,0.777777778,27
./data/SecondSet/2019_9_2_16_4_39.csv,JR,12PM,1259,8,,312.2965655,337.755523,430.6343108,0.842105263,19
./data/SecondSet/2019_9_2_16_4_57.csv,JR,12PM,1259,9,,259.4160499,265.0276839,309.5281172,0.904761905,21
./data/SecondSet/2019_9_2_16_5_46.csv,JR,12PM,1259,10,,264.0022458,267.4350212,311.3946153,0.842105263,19
./data/SecondSet/2019_9_2_16_6_23.csv,JR,12PM,1259,11,,147.4509857,141.2122375,160.4922358,0.791666667,24
./data/SecondSet/2019_9_2_16_6_46.csv,JR,12PM,1259,12,,180.6023866,161.7454801,177.7747388,0.8,20
./data/SecondSet/2080_1_5_23_59_43.csv,JR,12PM,1383,6,,235.6636165,201.5648597,198.7291212,0.866666667,15
./data/SecondSet/2080_1_5_23_59_43(2).csv,JR,12PM,1383,9,,163.266186,144.6123868,108.1360947,0.5625,16
./data/SecondSet/2080_1_5_23_59_44.csv,JR,12PM,1383,11,,96.62944867,76.79196479,88.35526771,0.777777778,18
./data/SecondSet/2080_1_5_23_59_45.csv,JR,12PM,1383,1,,278.5970087,366.4293985,509.9253168,0.80952381,21
./data/SecondSet/2080_1_5_23_59_45(2).csv,JR,12PM,1383,3,,316.7014486,292.3953672,222.9615231,0.631578947,19
./data/SecondSet/2080_1_5_23_59_45(3).csv,JR,12PM,1383,5,,221.9479013,182.1204615,230.3252718,0.8125,16
./data/SecondSet/2080_1_5_23_59_45(4).csv,JR,12PM,1383,7,,230.3636327,223.3572581,322.6767378,0.8,15
./data/SecondSet/2080_1_5_23_59_45(5).csv,JR,12PM,1383,8,,216.130182,197.4250817,202.2978183,0.875,16
./data/SecondSet/2080_1_5_23_59_46.csv,JR,12PM,1383,10,,196.853614,171.3016331,208.1243702,0.882352941,17
./data/SecondSet/2080_1_5_23_59_47.csv,JR,12PM,1383,4,,268.6819516,276.9985382,466.332298,0.5,18
./data/SecondSet/2080_1_5_23_59_48.csv,JR,12PM,1383,2,,235.1137194,223.6950162,234.1864941,0.875,16
./data/ThirdSet/2019_9_2_19_44_2.csv,JR,4PM,1383,2,,170.1743205,121.2538935,27.47911367,0.384615385,13
./data/ThirdSet/2019_9_2_19_44_21.csv,JR,4PM,1383,3,,243.4707278,217.5029549,267.4026391,0.857142857,14
./data/ThirdSet/2019_9_2_19_44_40.csv,JR,4PM,1383,4,,184.9147485,150.6259852,181.7457065,0.6,10
./data/ThirdSet/2019_9_2_19_45_28.csv,JR,4PM,1383,5,,178.2494449,99.67199525,60.90050693,0.5,14
./data/ThirdSet/2019_9_2_19_45_45.csv,JR,4PM,1383,6,,215.5223809,151.9077875,183.87817,0.714285714,14
./data/ThirdSet/2019_9_2_19_46_31.csv,JR,4PM,1383,8,,195.0700489,125.8780117,179.9516018,0.6875,16
./data/ThirdSet/2019_9_2_19_46_5.csv,JR,4PM,1383,7,,195.4571324,159.7911534,160.418676,0.866666667,15
./data/ThirdSet/2019_9_2_19_46_54.csv,JR,4PM,1383,9,,163.7745127,117.5962434,57.77661996,0.5625,16
./data/ThirdSet/2019_9_2_19_47_37.csv,JR,4PM,1383,10,,194.2915242,125.7118269,188.7552726,0.875,16
./data/ThirdSet/2019_9_2_19_47_55.csv,JR,4PM,1383,11,,67.44371596,73.92012522,90.47544369,0.611111111,18
./data/ThirdSet/2019_9_2_19_48_11.csv,JR,4PM,1383,1,,258.2643349,241.3869409,183.2397874,0.571428571,14
./data/ThirdSet/2019_9_2_19_49_30.csv,JR,4PM,1383,2,,189.0183272,147.6541637,187.0078641,0.866666667,15
./data/ThirdSet/2019_9_2_19_49_47.csv,JR,4PM,1383,3,,247.0167902,201.9015557,201.3624581,0.529411765,17
./data/ThirdSet/2019_9_2_19_50_20.csv,JR,4PM,1383,4,,206.0354338,243.7407963,309.429783,0.8,15
./data/ThirdSet/2019_9_2_19_50_34.csv,JR,4PM,1383,5,,180.1698863,171.1471792,115.8825316,0.5625,16
./data/ThirdSet/2019_9_2_19_50_49.csv,JR,4PM,1383,6,,231.8552011,203.3910309,364.3304017,0.8,15
./data/ThirdSet/2019_9_2_19_51_20.csv,JR,4PM,1383,7,,233.6247579,207.1388288,259.9824526,0.875,16
./data/ThirdSet/2019_9_2_19_51_38.csv,JR,4PM,1383,8,,183.7921063,136.0742797,186.0019217,0.785714286,14
./data/ThirdSet/2019_9_2_19_51_55.csv,JR,4PM,1383,9,,148.0786942,140.7693374,186.3956108,0.705882353,17
./data/ThirdSet/2019_9_2_19_52_12.csv,JR,4PM,1383,10,,165.2205407,111.1928821,79.17533229,0.625,16
./data/ThirdSet/2019_9_2_19_52_29.csv,JR,4PM,1383,11,,81.8946733,49.72833633,41.18595646,0.619047619,21
./data/ThirdSet/2019_9_2_19_52_57.csv,JR,4PM,1259,1,,195.3712059,164.7510896,122.3717434,0.733333333,15
./data/ThirdSet/2019_9_2_19_56_31.csv,JR,4PM,1259,2,,153.1080781,127.9482848,205.8236208,0.588235294,17
./data/ThirdSet/2019_9_2_19_56_47.csv,JR,4PM,1259,3,,267.37607,227.3578455,243.0058608,0.888888889,18
./data/ThirdSet/2019_9_2_19_57_37.csv,JR,4PM,1259,5,,171.7363998,146.8273688,127.6528797,0.722222222,18
./data/ThirdSet/2019_9_2_19_57_4.csv,JR,4PM,1259,4,,75.87119077,76.34726532,64.66755997,0.473684211,19
./data/ThirdSet/2019_9_2_19_57_53.csv,JR,4PM,1259,6,,206.1604248,193.0976164,204.8208708,0.833333333,18
./data/ThirdSet/2019_9_2_19_58_10.csv,JR,4PM,1259,7,,199.7578607,223.7116887,343.764327,0.739130435,23
./data/ThirdSet/2019_9_2_19_58_28.csv,JR,4PM,1259,8,,270.0466084,307.8868409,314.545171,0.888888889,18
./data/ThirdSet/2019_9_2_19_58_53.csv,JR,4PM,1259,9,,233.0159477,189.063044,234.4064962,0.8125,16
./data/ThirdSet/2019_9_2_19_59_30.csv,JR,4PM,1259,11,,107.1927971,86.84777312,82.05052909,0.75,24
./data/ThirdSet/2019_9_2_19_59_9.csv,JR,4PM,1259,10,,224.055427,169.9876706,174.3245266,0.875,16
./data/ThirdSet/2019_9_2_20_0_25.csv,JR,4PM,1259,1,,197.3001772,215.1790118,213.9234169,0.882352941,17
./data/ThirdSet/2019_9_2_20_0_3.csv,JR,4PM,1259,12,,126.4422687,123.0807779,149.2860636,0.722222222,18
./data/ThirdSet/2019_9_2_20_1_37.csv,JR,4PM,1259,2,,201.8110438,152.7116022,180.5631015,0.888888889,18
./data/ThirdSet/2019_9_2_20_10_22.csv,JR,4PM,1259,10,,220.1115015,172.4353878,208.007734,0.6875,16
./data/ThirdSet/2019_9_2_20_10_51.csv,JR,4PM,1259,11,,107.9644404,76.89150827,88.26994365,0.75,20
./data/ThirdSet/2019_9_2_20_10_6.csv,JR,4PM,1259,9,,222.1910705,219.0962115,264.5956807,0.611111111,18
./data/ThirdSet/2019_9_2_20_11_8.csv,JR,4PM,1259,12,,156.1256808,179.8200129,153.7616509,0.590909091,22
./data/ThirdSet/2019_9_2_20_2_11.csv,JR,4PM,1259,3,,264.4766812,226.1493639,314.5595979,0.894736842,19
./data/ThirdSet/2019_9_2_20_2_29.csv,JR,4PM,1259,4,,112.7970618,103.1554163,109.7556595,0.869565217,23
./data/ThirdSet/2019_9_2_20_3_18.csv,JR,4PM,1259,6,,275.5989705,223.9789848,291.3987004,0.894736842,19
./data/ThirdSet/2019_9_2_20_3_2.csv,JR,4PM,1259,5,,194.3282967,200.5720453,303.8036476,0.619047619,21
./data/ThirdSet/2019_9_2_20_3_40.csv,JR,4PM,1259,7,,197.2048576,190.8182294,205.9839651,0.894736842,19
./data/ThirdSet/2019_9_2_20_3_58.csv,JR,4PM,1259,8,,275.0389442,251.9774129,239.8837217,0.875,16
./data/ThirdSet/2019_9_2_20_4_31.csv,JR,4PM,1259,9,,211.3441545,138.3135231,174.309285,0.8,15
./data/ThirdSet/2019_9_2_20_4_47.csv,JR,4PM,1259,10,,211.8059681,161.6442091,242.1305274,0.875,16
./data/ThirdSet/2019_9_2_20_5_24.csv,JR,4PM,1259,11,,114.7218733,98.1357714,135.3932164,0.875,24
./data/ThirdSet/2019_9_2_20_6_0.csv,JR,4PM,1259,12,,151.9894439,146.9347451,122.6733425,0.761904762,21
./data/ThirdSet/2019_9_2_20_6_30.csv,JR,4PM,1259,1,,199.1782612,180.934613,241.4567857,0.882352941,17
./data/ThirdSet/2019_9_2_20_7_24.csv,JR,4PM,1259,2,,182.751085,170.9352663,188.1303758,0.894736842,19
./data/ThirdSet/2019_9_2_20_7_41.csv,JR,4PM,1259,3,,257.6787097,227.9325305,238.8808723,0.882352941,17
./data/ThirdSet/2019_9_2_20_7_57.csv,JR,4PM,1259,4,,92.58511895,72.47390258,131.5787268,0.6,20
./data/ThirdSet/2019_9_2_20_8_29.csv,JR,4PM,1259,5,,209.228624,199.9355504,181.1788027,0.894736842,19
./data/ThirdSet/2019_9_2_20_8_54.csv,JR,4PM,1259,6,,241.0095973,255.7108824,276.264934,0.888888889,18
./data/ThirdSet/2019_9_2_20_9_19.csv,JR,4PM,1259,7,,254.4053613,160.2618748,167.4903233,0.777777778,18
./data/ThirdSet/2019_9_2_20_9_42.csv,JR,4PM,1259,8,,270.6883257,320.2112926,281.8843918,0.894736842,19
./data/ThirdSet/2080_1_5_23_59_42.csv,JR,4PM,1383,6,,161.0629908,87.29958109,48.22122262,0.583333333,12
./data/ThirdSet/2080_1_5_23_59_43(3).csv,JR,4PM,1383,5,,166.80657,153.93868,295.6123151,0.6875,16
./data/ThirdSet/2080_1_5_23_59_43(4).csv,JR,4PM,1383,8,,154.7003187,86.19092134,96.51686324,0.5,12
./data/ThirdSet/2080_1_5_23_59_43(5).csv,JR,4PM,1383,9,,125.2987874,109.3931945,76.07699598,0.636363636,11
./data/ThirdSet/2080_1_5_23_59_43(6).csv,JR,4PM,1383,11,,61.20899345,64.59381276,28.20221901,0.428571429,14
./data/ThirdSet/2080_1_5_23_59_43(7).csv,JR,4PM,1383,1,,214.2337695,231.0554667,351.810406,0.615384615,13
./data/ThirdSet/2080_1_5_23_59_44(2).csv,JR,4PM,1383,2,,190.3566255,159.5418307,198.7340548,0.714285714,14
./data/ThirdSet/2080_1_5_23_59_44(3).csv,JR,4PM,1383,3,,213.3133299,187.4954445,221.2563642,0.714285714,14
./data/ThirdSet/2080_1_5_23_59_44(4).csv,JR,4PM,1383,7,,175.60407,163.666237,171.8180252,0.545454545,11
./data/ThirdSet/2080_1_5_23_59_46(2).csv,JR,4PM,1383,1,,292.9009438,237.1237161,180.8116448,0.8,15
./data/ThirdSet/2080_1_5_23_59_49.csv,JR,4PM,1383,10,,178.4905701,122.7564877,75.54761207,0.461538462,13
./data/ThirdSet/2080_1_5_23_59_52.csv,JR,4PM,1383,4,,220.9135506,218.9391962,391.0976009,0.642857143,14
./data/1259/2019_9_27_16_10_26.csv,LE,R5,1259,2,D,107.0271563,131.769577,149.1186292,0.933333333,30
./data/1259/2019_9_27_16_11_20.csv,LE,R5,1259,3,A,351.4865628,394.2455233,462.5987294,0.882352941,17
./data/1259/2019_9_27_16_11_50.csv,LE,R5,1259,3,B,307.7819869,303.52559,289.7268434,0.875,16
./data/1259/2019_9_27_16_12_35.csv,LE,R5,1259,3,C,219.5686607,255.3686712,256.3580231,0.894736842,19
./data/1259/2019_9_27_16_13_29.csv,LE,R5,1259,3,D,157.8522039,207.5374871,212.0156593,0.875,24
./data/1259/2019_9_27_16_14_21.csv,LE,R5,1259,4,A,145.2476893,137.6963503,153.4442061,0.826086957,23
./data/1259/2019_9_27_16_14_47.csv,LE,R5,1259,4,B,129.129508,145.6899725,127.3341326,0.904761905,21
./data/1259/2019_9_27_16_15_33.csv,LE,R5,1259,4,C,85.2436449,100.9641491,125.6120799,0.925925926,27
./data/1259/2019_9_27_16_16_20.csv,LE,R5,1259,5,A,257.5052302,309.9907955,274.1972364,0.904761905,21
