filename,operator,time,test,Geno,plant,plot,whirl_id,line_raw_slope (N/m),line_push_slope (N/m),ransac_slope(N/m),ratio captured,points
./data/SecondSet/2019_9_2_15_56_15.csv,JR,12PM,red,CML258,2,Plot A,1259,196.9574889,165.3278259,143.7968274,0.8,20
./data/SecondSet/2019_9_2_16_2_5.csv,JR,12PM,black,CML258,2,Plot A,1259,228.8265094,203.0443346,282.5348953,0.631578947,19
./data/SecondSet/2019_9_2_15_51_40.csv,JR,12PM,blue,CML258,3,Plot A,1259,287.799123,238.1415527,277.3316544,0.9,20
./data/SecondSet/2019_9_2_15_56_32.csv,JR,12PM,red,CML258,3,Plot A,1259,299.5695862,268.8037294,274.2934814,0.9,20
./data/SecondSet/2019_9_2_16_2_28.csv,JR,12PM,black,CML258,3,Plot A,1259,343.1736732,311.6022062,271.4547833,0.904761905,21
./data/SecondSet/2019_9_2_15_52_11.csv,JR,12PM,blue,CML258,4,Plot A,1259,96.46361633,79.90315924,97.99871574,0.857142857,21
./data/SecondSet/2019_9_2_15_56_51.csv,JR,12PM,red,CML258,4,Plot A,1259,84.36000042,65.79687195,54.13718513,0.619047619,21
./data/SecondSet/2019_9_2_16_2_51.csv,JR,12PM,black,CML258,4,Plot A,1259,108.2005569,68.3155335,53.2639242,0.55,20
./data/SecondSet/2019_9_2_15_52_33.csv,JR,12PM,blue,CML258,5,Plot A,1259,202.8049253,215.2789611,209.4872887,0.842105263,19
./data/SecondSet/2019_9_2_15_57_9.csv,JR,12PM,red,CML258,5,Plot A,1259,208.0770233,174.8854176,191.9929833,0.9,20
./data/SecondSet/2019_9_2_16_3_12.csv,JR,12PM,black,CML258,5,Plot A,1259,225.8565566,240.2854586,248.5064108,0.909090909,22
./data/SecondSet/2019_9_2_15_52_52.csv,JR,12PM,blue,CML258,6,Plot A,1259,270.4551081,258.4451523,242.6830931,0.647058824,17
./data/SecondSet/2019_9_2_15_57_28.csv,JR,12PM,red,CML258,6,Plot A,1259,251.0143117,230.2848868,230.2304244,0.9,20
./data/SecondSet/2019_9_2_16_3_43.csv,JR,12PM,black,CML258,6,Plot A,1259,266.2918506,293.8939471,284.9055488,0.913043478,23
./data/SecondSet/2019_9_2_15_53_13.csv,JR,12PM,blue,CML258,7,Plot A,1259,227.8124039,274.7684396,275.152601,0.894736842,19
./data/SecondSet/2019_9_2_15_57_51.csv,JR,12PM,red,CML258,7,Plot A,1259,240.5989889,227.1975565,249.3058013,0.904761905,21
./data/SecondSet/2019_9_2_16_4_12.csv,JR,12PM,black,CML258,7,Plot A,1259,271.9044493,301.2564122,308.3318389,0.777777778,27
./data/SecondSet/2019_9_2_15_53_32.csv,JR,12PM,blue,CML258,8,Plot A,1259,273.1432346,242.9636757,307.0928158,0.882352941,17
./data/SecondSet/2019_9_2_15_58_19.csv,JR,12PM,red,CML258,8,Plot A,1259,314.8727613,320.8930508,419.3445267,0.904761905,21
./data/SecondSet/2019_9_2_16_4_39.csv,JR,12PM,black,CML258,8,Plot A,1259,312.2965655,337.755523,429.5916373,0.842105263,19
./data/SecondSet/2019_9_2_15_53_50.csv,JR,12PM,blue,CML258,9,Plot A,1259,264.1643066,303.528578,317.5540373,0.909090909,22
./data/SecondSet/2019_9_2_15_58_37.csv,JR,12PM,red,CML258,9,Plot A,1259,240.4645627,260.0562264,261.8024454,0.904761905,21
./data/SecondSet/2019_9_2_16_4_57.csv,JR,12PM,black,CML258,9,Plot A,1259,259.4160499,265.0276839,293.849427,0.904761905,21
./data/SecondSet/2019_9_2_15_54_9.csv,JR,12PM,blue,CML258,10,Plot A,1259,266.0816665,233.509034,226.4135031,0.68,25
./data/SecondSet/2019_9_2_15_58_53.csv,JR,12PM,red,CML258,10,Plot A,1259,221.7125479,201.8504613,191.6279009,0.842105263,19
./data/SecondSet/2019_9_2_16_5_46.csv,JR,12PM,black,CML258,10,Plot A,1259,264.0022458,267.4350212,311.3946153,0.842105263,19
./data/SecondSet/2019_9_2_15_54_32.csv,JR,12PM,blue,CML258,11,Plot A,1259,151.1773623,168.2911373,178.0975239,0.652173913,23
./data/SecondSet/2019_9_2_15_59_32.csv,JR,12PM,red,CML258,11,Plot A,1259,129.6503988,110.6119704,121.9026523,0.92,25
./data/SecondSet/2019_9_2_16_6_23.csv,JR,12PM,black,CML258,11,Plot A,1259,147.4509857,141.2122375,163.1562118,0.791666667,24
./data/SecondSet/2019_9_2_15_54_52.csv,JR,12PM,blue,CML258,12,Plot A,1259,157.3569294,154.1969231,174.3523886,0.666666667,18
./data/SecondSet/2019_9_2_15_59_53.csv,JR,12PM,red,CML258,12,Plot A,1259,162.3392517,182.2703825,194.5513192,0.80952381,21
./data/SecondSet/2019_9_2_16_6_46.csv,JR,12PM,black,CML258,12,Plot A,1259,180.6023866,161.7454801,177.7747388,0.8,20
./data/ThirdSet/2019_9_2_19_52_57.csv,JR,4PM,blue,CML258,1,Plot A,1259,195.3712059,164.7510896,122.3717434,0.733333333,15
./data/ThirdSet/2019_9_2_20_0_25.csv,JR,4PM,red,CML258,1,Plot A,1259,197.3001772,215.1790118,213.9234169,0.882352941,17
./data/ThirdSet/2019_9_2_20_6_30.csv,JR,4PM,black,CML258,1,Plot A,1259,199.1782612,180.934613,236.2662928,0.882352941,17
./data/ThirdSet/2019_9_2_19_56_31.csv,JR,4PM,blue,CML258,2,Plot A,1259,153.1080781,127.9482848,217.6398534,0.588235294,17
./data/ThirdSet/2019_9_2_20_1_37.csv,JR,4PM,red,CML258,2,Plot A,1259,201.8110438,152.7116022,180.5631015,0.888888889,18
