site,site_no,lat,lon,plot,rep,block,set,check ,gen_mean,gen_slope,family,Sparks_set,entry,stand,pd,dta,R.dtagdd0630sa,dts,R.dtsgdd0630sa,asi,R.asigdd0630sa,plh,erh,peh,tsw,spl,dta_min4,dta_min4_o,R.dtagdd0630sa_min4,R.dtagdd0630sa_min4_o,dts_min4,dts_min4_o,R.dtsgdd0630sa_min4,R.dtsgdd0630sa_min4_o,asi_min4,asi_min4_o,R.asigdd0630sa_min4,R.asigdd0630sa_min4_o,plh_min4,plh_min4_o,erh_min4,erh_min4_o,peh_min4,peh_min4_o,tsw_min4,tsw_min4_o,spl_min4,spl_min4_o
newaDE,3,39.67,-75.75,3286,2,7,1,NA,g6,6,151,852_3,852_3,15,14/05/2009,73,1037.944444,77,1115.277778,4,77.33333333,273.13,152,121.13,6.26,234,73,73,1037.944444,1037.944444,77,77,1115.277778,1115.277778,4,4,77.33333333,77.33333333,273.13,273.13,152,152,121.13,121.13,6.26,6.26,234,234
newaDE,3,39.67,-75.75,3295,2,7,1,NA,g4,4,31,176_5,176_5,13,14/05/2009,77,1115.277778,82,1207.527778,5,92.25,278.63,161.38,117.25,7.2,228,77,77,1115.277778,1115.277778,82,82,1207.527778,1207.527778,5,5,92.25,92.25,278.63,278.63,161.38,161.38,117.25,117.25,7.2,7.2,228,228
newaDE,3,39.67,-75.75,3349,2,10,1,NA,g6,6,176,856_5,856_5,11,14/05/2009,74,1058.111111,73,1037.944444,-1,-20.16666667,254,161.13,92.87,3.33,201,74,74,1058.111111,1058.111111,73,73,1037.944444,1037.944444,-1,-1,-20.16666667,-20.16666667,254,254,161.13,161.13,92.87,92.87,3.33,3.33,201,201
newaDE,3,39.67,-75.75,3357,2,11,1,NA,g6,6,181,857_8,857_8,18,14/05/2009,75,1076.083333,81,1189.388889,6,113.3055556,260.75,153.38,107.37,6.61,198,75,75,1076.083333,1076.083333,81,81,1189.388889,1189.388889,6,6,113.3055556,113.3055556,260.75,260.75,153.38,153.38,107.37,107.37,6.61,6.61,198,198
newaDE,3,39.67,-75.75,3362,2,11,1,NA,g10,10,262,872_2,872_2,15,14/05/2009,69,970.1111111,69,970.1111111,0,0,251.88,130.38,121.5,6.42,221,69,69,970.1111111,970.1111111,69,69,970.1111111,970.1111111,0,0,0,0,251.88,251.88,130.38,130.38,121.5,121.5,6.42,6.42,221,221
newaDE,3,39.67,-75.75,3368,2,12,1,NA,g6,6,183,858_4,858_4,8,14/05/2009,73,1037.944444,74,1058.111111,1,20.16666667,238.57,126.14,112.43,2.76,226,73,73,1037.944444,1037.944444,74,74,1058.111111,1058.111111,1,1,20.16666667,20.16666667,238.57,238.57,126.14,126.14,112.43,112.43,2.76,2.76,226,226
newaDE,3,39.67,-75.75,3398,2,13,1,NA,g2,2,20,172_3,172_3,14,14/05/2009,82,1207.527778,90,1350.805556,8,143.2777778,318.14,184.75,133.39,4.09,179,82,82,1207.527778,1207.527778,90,90,1350.805556,1350.805556,8,8,143.2777778,143.2777778,318.14,318.14,184.75,184.75,133.39,133.39,4.09,4.09,179,179
newaDE,3,39.67,-75.75,3406,2,14,1,NA,g0,0,8,165_3,165_3,14,14/05/2009,88,1311.083333,93,1403.416667,5,92.33333333,322.13,222,100.13,9.78,276,88,88,1311.083333,1311.083333,93,93,1403.416667,1403.416667,5,5,92.33333333,92.33333333,322.13,322.13,222,222,100.13,100.13,9.78,9.78,276,276
newaDE,3,39.67,-75.75,3412,2,14,1,NA,g4,4,39,178_6,178_6,14,14/05/2009,72,1020.027778,75,1076.083333,3,56.05555556,300.25,190.25,110,5.21,267,72,72,1020.027778,1020.027778,75,75,1076.083333,1076.083333,3,3,56.05555556,56.05555556,300.25,300.25,190.25,190.25,110,110,5.21,5.21,267,267
newaDE,3,39.67,-75.75,3425,2,15,1,NA,g2,2,65,832_2,832_2,9,14/05/2009,80,1171.5,86,1273.722222,6,102.2222222,285,180.86,104.14,3.83,213,80,80,1171.5,1171.5,86,86,1273.722222,1273.722222,6,6,102.2222222,102.2222222,285,285,180.86,180.86,104.14,104.14,3.83,3.83,213,213
newaDE,3,39.67,-75.75,3429,2,15,1,NA,g0,0,15,169_1,169_1,15,14/05/2009,83,1225.944444,91,1369.722222,8,143.7777778,345.17,227.87,117.3,4.29,225,83,83,1225.944444,1225.944444,91,91,1369.722222,1369.722222,8,8,143.7777778,143.7777778,345.17,345.17,227.87,227.87,117.3,117.3,4.29,4.29,225,225
newaDE,3,39.67,-75.75,3439,2,16,1,NA,g10,10,246,869_6,869_6,14,14/05/2009,70,987.6666667,71,1003.361111,1,15.69444444,251.13,133.38,117.75,4.42,233,70,70,987.6666667,987.6666667,71,71,1003.361111,1003.361111,1,1,15.69444444,15.69444444,251.13,251.13,133.38,133.38,117.75,117.75,4.42,4.42,233,233
newaDE,3,39.67,-75.75,3441,2,16,1,NA,g2,2,19,172_2,172_2,15,14/05/2009,81,1189.388889,91,1369.722222,10,180.3333333,308.75,181.5,127.25,5.98,219,81,81,1189.388889,1189.388889,91,91,1369.722222,1369.722222,10,10,180.3333333,180.3333333,308.75,308.75,181.5,181.5,127.25,127.25,5.98,5.98,219,219
newaDE,3,39.67,-75.75,3445,2,16,1,NA,g10,10,267,873_1,873_1,13,14/05/2009,69,970.1111111,73,1037.944444,4,67.83333333,218.13,120.38,97.75,9.03,219,69,69,970.1111111,970.1111111,73,73,1037.944444,1037.944444,4,4,67.83333333,67.83333333,218.13,218.13,120.38,120.38,97.75,97.75,9.03,9.03,219,219
newaDE,3,39.67,-75.75,3447,2,16,1,NA,g4,4,36,177_6,177_6,6,14/05/2009,79,1153.166667,82,1207.527778,3,54.36111111,255.17,161.5,93.67,6.83,232,79,79,1153.166667,1153.166667,82,82,1207.527778,1207.527778,3,3,54.36111111,54.36111111,255.17,255.17,161.5,161.5,93.67,93.67,6.83,6.83,232,232
newaDE,3,39.67,-75.75,3455,2,17,1,NA,g2,2,67,832_6,832_6,13,14/05/2009,82,1207.527778,88,1311.083333,6,103.5555556,284.88,188.38,96.5,7.89,247,82,82,1207.527778,1207.527778,88,88,1311.083333,1311.083333,6,6,103.5555556,103.5555556,284.88,284.88,188.38,188.38,96.5,96.5,7.89,7.89,247,247
